parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
ag1,350,0.6,0.6,3,0.9
kf83,52656,0.6,0.6,3,0.9
kf84,502,0.6,0.6,3,0.9
KR1,8,1,0.7,3,0.9
rcat,1,0.6,0.3,3,0.9
rG2,1,0.6,0.3,1,0.9
KGglu,2.00E+06,1,0.7,3,0.9
KHXTglu,2.00E+06,1,0.7,3,0.9
